"SP" "NEW" "WG2"
"1" -3480.37158203125 -3709.37866210938 -3706.02099609375
"2" -3506.0166015625 -3735.02392578125 -3731.666015625
"3" -3526.49487304688 -3755.501953125 -3752.14404296875
"4" -3533.837890625 -3762.84497070312 -3759.4873046875
"5" -3535.0361328125 -3764.04321289062 -3760.685546875
"6" -3538.66259765625 -3770.4658203125 -3767.033203125
"7" -3549.23095703125 -3786.09252929688 -3782.56420898438
"8" -3566.78247070312 -3807.61157226562 -3803.96997070312
"9" -3598.74096679688 -3841.36889648438 -3837.71948242188
"10" -3627.33984375 -3873.06494140625 -3869.38989257812
"11" -3650.14526367188 -3895.87036132812 -3892.1953125
"12" -3670.4775390625 -3916.20263671875 -3912.52758789062
